job_id;job_title;salary_usd;salary_currency;salary_local;experience_level;employment_type;company_location;company_size;employee_residence;remote_ratio;required_skills;education_required;years_experience;industry;posting_date;application_deadline;job_description_length;benefits_score;company_name;Exchange_rate.Rate_to_usd;Salary_USD_cONVERT;High salary flag
AI00029;Deep Learning Engineer;29050;USD;29050;EN;FT;China;Kiçik;Germany;0;PyTorch, Kubernetes, Deep Learning, Hadoop;Əsas ali təhsil;1;Consulting;6.02.2025;19.03.2025;555;52;AI Innovations;1;29050;0
AI00229;Computer Vision Engineer;58554;USD;58554;EN;FT;Ireland;Kiçik;Ireland;0;Linux, Java, R, SQL, Mathematics;Magistr;1;Healthcare;20.11.2024;22.12.2024;2448;93;Cognitive Computing;1;58554;0
AI00438;Deep Learning Engineer;68057;USD;68057;EN;CT;Denmark;Kiçik;Denmark;0;R, MLOps, AWS, Python;Magistr;1;Real Estate;15.03.2024;12.05.2024;2060;63;Cognitive Computing;1;68057;0
AI00647;AI Architect;54424;USD;54424;EN;FL;United States;Kiçik;Austria;0;R, Kubernetes, Mathematics, Hadoop, SQL;PhD;1;Energy;2.01.2024;21.01.2024;1220;92;DeepTech Ventures;1;54424;0
AI00774;Machine Learning Engineer;23848;USD;23848;EN;FL;China;Kiçik;Poland;0;TensorFlow, Spark, NLP, Mathematics;Əsas ali təhsil;1;Real Estate;29.02.2024;17.04.2024;1126;86;Machine Intelligence Group;1;23848;0
AI00789;AI Product Manager;62787;USD;62787;EN;FL;Norway;Kiçik;Singapore;0;Hadoop, Scala, R, Python;Əsas ali təhsil;1;Automotive;11.09.2024;10.10.2024;1204;51;Cloud AI Solutions;1;62787;0
AI00940;Head of AI;27765;USD;27765;EN;CT;China;Kiçik;China;0;MLOps, Deep Learning, Python, Tableau;Bakalavr;1;Consulting;15.01.2025;12.02.2025;968;93;Cloud AI Solutions;1;27765;0
AI01087;AI Consultant;20785;USD;20785;EN;PT;India;Kiçik;India;0;Kubernetes, Spark, Azure, PyTorch;Magistr;1;Manufacturing;24.12.2024;22.01.2025;642;62;Cognitive Computing;1;20785;0
AI01261;Autonomous Systems Engineer;68165;USD;68165;EN;PT;United States;Kiçik;Netherlands;0;Azure, Linux, Computer Vision, R, Java;Bakalavr;1;Finance;30.07.2024;7.10.2024;1978;85;Quantum Computing Inc;1;68165;0
AI01411;AI Architect;19456;USD;19456;EN;CT;India;Kiçik;India;0;Java, GCP, AWS, Deep Learning, Spark;Əsas ali təhsil;1;Automotive;24.02.2024;11.03.2024;1072;97;Autonomous Tech;1;19456;0
AI01459;Robotics Engineer;29590;USD;29590;EN;FT;China;Kiçik;South Korea;0;Linux, Data Visualization, Java, Hadoop, NLP;Bakalavr;1;Retail;10.06.2024;7.08.2024;1355;54;TechCorp Inc;1;29590;0
AI01512;Research Scientist;88116;USD;88116;EN;FT;Norway;Kiçik;Singapore;0;R, NLP, GCP;PhD;1;Telecommunications;14.03.2025;29.03.2025;2478;67;Predictive Systems;1;88116;0
AI01679;Data Scientist;49357;USD;49357;EN;FT;Finland;Kiçik;Finland;0;Java, Mathematics, Tableau, NLP, Deep Learning;Bakalavr;1;Transportation;2.07.2024;31.07.2024;2422;59;DeepTech Ventures;1;49357;0
AI01707;AI Architect;62738;USD;62738;EN;FL;Finland;Kiçik;Canada;0;Git, SQL, GCP;Əsas ali təhsil;1;Consulting;6.02.2024;1.03.2024;1244;97;Neural Networks Co;1;62738;0
AI01733;AI Consultant;84737;USD;84737;EN;CT;United States;Kiçik;United States;0;Spark, Data Visualization, Computer Vision;Bakalavr;1;Telecommunications;6.01.2025;2.02.2025;1139;68;DeepTech Ventures;1;84737;0
AI01824;AI Specialist;45721;USD;45721;EN;FL;Israel;Kiçik;Singapore;0;Azure, AWS, Docker;Magistr;1;Retail;16.01.2024;9.02.2024;2151;79;Quantum Computing Inc;1;45721;0
AI01830;Principal Data Scientist;55944;USD;55944;EN;CT;United States;Kiçik;United States;0;Python, Scala, GCP;Magistr;1;Consulting;21.04.2024;22.06.2024;2218;88;Cloud AI Solutions;1;55944;0
AI02012;AI Research Scientist;50319;USD;50319;EN;PT;Israel;Kiçik;Israel;0;PyTorch, Java, Python, Mathematics, SQL;Bakalavr;1;Media;12.05.2024;30.05.2024;782;77;DeepTech Ventures;1;50319;0
AI02048;Data Engineer;48509;USD;48509;EN;FL;Finland;Kiçik;Finland;0;Git, Mathematics, Hadoop, AWS, Azure;Bakalavr;1;Education;30.03.2025;3.05.2025;2109;97;TechCorp Inc;1;48509;0
AI02310;Research Scientist;51843;USD;51843;EN;CT;Finland;Kiçik;Sweden;0;Kubernetes, Hadoop, Java, Computer Vision, Tableau;Magistr;1;Technology;25.08.2024;16.10.2024;797;73;TechCorp Inc;1;51843;0
AI02469;Principal Data Scientist;28831;USD;28831;EN;CT;China;Kiçik;Kenya;0;Computer Vision, SQL, PyTorch, Docker, TensorFlow;Magistr;1;Energy;23.09.2024;10.11.2024;1887;7;DeepTech Ventures;1;28831;0
